Number,ElapsedTimeInSeconds,Depth,Temperature,HeartRate,BatteryVoltage,TimeToSurfaceInMinutes,TimeToSurfaceInMinutesAtPlusFive,NoDecoLimit,CentralNervousSystemPercent,GasDensity,GradientFactor99,PPO2,PPN2,PPHe,Tank1PressureInBar,Tank2PressureInBar,Tank3PressureInBar,Tank4PressureInBar,SurfaceAirConsumptionInBar,GasTimeRemainingInMinutes
1,0,1.10000002384186,30,77,1.6,1,1,0,0,1.44099283218384,0,0.23,0.8886355,0,,,,,,
1,10,2.60000014305115,30,77,1.6,1,1,99,0,1.63421845436096,255,0.27,0.9986356,0,,,,,,
1,20,2.60000014305115,30,77,1.6,1,1,99,0,1.63421845436096,255,0.27,0.9986356,0,,,,,,
1,30,1.5,30,77,1.59,1,1,99,0,1.49251973628998,255,0.25,0.9086356,0,,,,,,
1,40,1.30000007152557,30,77,1.59,1,1,99,0,1.46675634384155,255,0.24,0.8986356,0,,,,,,
1,50,1.89999997615814,30,77,1.59,1,1,99,0,1.54404640197754,255,0.25,0.9486356,0,,,,,,
1,60,1.60000002384186,30,77,1.59,1,1,99,0,1.50540137290955,255,0.24,0.9286356,0,,,,,,
1,70,1.80000007152557,30,77,1.59,1,1,99,0,1.53116476535797,255,0.25,0.9386356,0,,,,,,
1,80,1.89999997615814,30,77,1.59,1,1,99,0,1.54404640197754,255,0.25,0.9486356,0,,,,,,
1,90,1.70000004768372,30,77,1.59,1,1,99,0,1.5182831287384,255,0.25,0.9286356,0,,,,,,
1,100,1.80000007152557,30,77,1.59,1,1,99,0,1.53116476535797,255,0.25,0.9386356,0,,,,,,
1,110,1.80000007152557,30,77,1.59,1,1,99,0,1.53116476535797,255,0.25,0.9386356,0,,,,,,
1,120,2.10000014305115,30,77,1.59,1,1,99,0,1.56980979442596,255,0.26,0.9586356,0,,,,,,
1,130,2.20000004768372,30,77,1.59,1,1,99,0,1.58269155025482,255,0.26,0.9686356,0,,,,,,
1,140,2.10000014305115,30,77,1.59,1,1,99,0,1.56980979442596,255,0.25,0.9686356,0,,,,,,
1,150,2.10000014305115,30,77,1.59,1,1,99,0,1.56980979442596,255,0.26,0.9586356,0,,,,,,
1,160,2.10000014305115,30,77,1.59,1,1,99,0,1.56980979442596,255,0.26,0.9586356,0,,,,,,
1,170,2.20000004768372,30,77,1.59,1,1,99,0,1.58269155025482,255,0.26,0.9686356,0,,,,,,
1,180,2.29999995231628,30,77,1.59,1,1,99,0,1.59557318687439,255,0.26,0.9786355,0,,,,,,
1,190,2.20000004768372,30,77,1.58,1,1,99,0,1.58269155025482,255,0.26,0.9686356,0,,,,,,
1,200,2.20000004768372,30,77,1.58,1,1,99,0,1.58269155025482,255,0.26,0.9686356,0,,,,,,
1,210,2.20000004768372,30,77,1.58,1,1,99,0,1.58269155025482,255,0.26,0.9686356,0,,,,,,
1,220,2.29999995231628,30,77,1.58,1,1,99,0,1.59557318687439,255,0.26,0.9786355,0,,,,,,
1,230,2.40000009536743,30,77,1.58,1,1,99,0,1.60845494270325,255,0.26,0.9886355,0,,,,,,
