Number,Mode,StartDate,EndDate,DurationInSeconds,Buddy,Location,Site,Note,DepthInMetersMax,DepthInMetersAvg,HeartRateMax,HeartRateMin,HeartRateAvg,TemperatureInCelsiusMax,TemperatureInCelsiusMin,TemperatureInCelsiusAvg,SurfacePressureInMillibarPreDive,SurfacePressureInMillibarPostDive,SurfaceIntervalInSeconds,Salinity,SalinityType,ComputerModel,ComputerSerialNumber,ComputerFirmwareVersion,BatteryType,BatteryVoltagePreDive,BatteryVoltagePostDive,SampleRateInMs,DataFormat,DecoModel,GradientFactorLow,GradientFactorHigh,GradientFactorSurfaceEnd,CNSPercentPreDive,CNSPercentPostDive
1,Air,2024-09-27 11:49:56,2024-09-27 11:56:20,384,Lacy,Semporna,BBB Fun Diver,OW,2.70000004768372,2.06666707992554,164,54,104,30,29,29.9743595123291,1022,1022,69480,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,1,0,0
2,Air,2024-09-27 12:00:15,2024-09-27 12:22:40,1345,Lacy,Semporna,BBB Fun Diver,OW,7.20000028610229,3.86328148841858,125,41,65,30,29,29.1015625,1022,1022,240,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,1,0,0
3,Air,2024-09-27 12:29:39,2024-09-27 12:37:47,488,Lacy,Semporna,BBB Fun Diver,OW,2.90000009536743,2.27400040626526,125,41,65,30,29,29.0799999237061,1022,1022,480,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,1,0,0
4,Air,2024-09-27 13:44:01,2024-09-27 14:35:52,3111,Lacy,Semporna,BBB Fun Diver,OW,18.7000007629395,9.09423065185547,125,41,65,30,28,28.3108978271484,1029,1029,4020,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,36,0,2
5,Air,2024-09-28 10:47:50,2024-09-28 11:05:31,1061,Lacy,Semporna,BBB Fun Diver,OW,7,4.44380903244019,125,41,65,29,28,28.2666664123535,1021,1021,72720,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,1,0,0
6,Air,2024-09-28 12:28:54,2024-09-28 12:58:08,1754,Lacy,Semporna,BBB Fun Diver,OW,9.60000038146973,4.70588254928589,125,41,65,29,29,29,1031,1031,5040,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.70000004768372,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,6,0,0
7,Air,2024-09-28 14:28:38,2024-09-28 15:10:51,2533,Lacy,Semporna,BBB Fun Diver,OW,12.1999998092651,7.78621912002563,125,41,65,29,28,28.5787410736084,1019,1019,5460,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,20,0,0
8,Air,2024-09-29 10:19:59,2024-09-29 10:57:15,2236,Lacy,Semporna,BBB Fun Diver,OW,23.6000003814697,11.4018297195435,125,41,65,29,28,28.7534255981445,1020,1020,68940,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.70000004768372,1.60000002384186,10000,sw-pnf-14-12,GF,40,85,29,0,2
9,Air,2024-09-29 12:18:28,2024-09-29 12:26:21,473,Lacy,Semporna,BBB Fun Diver,OW,11.1000003814697,7.3687481880188,125,41,65,29,28,28.3541660308838,1020,1020,4920,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,6,1,1
10,Air,2024-09-29 12:40:12,2024-09-29 13:04:30,1458,Lacy,Semporna,BBB Fun Diver,OW,19.3000011444092,9.27346897125244,125,41,65,29,28,28.088436126709,1020,1020,840,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,17,1,2
11,Air,2024-09-29 14:24:08,2024-09-29 15:07:55,2627,Lacy,Semporna,BBB Fun Diver,OW,19.5,9.32737827301025,125,41,65,29,28,28.5893535614014,1023,1023,4800,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,24,1,2
12,Air,2024-09-30 10:10:09,2024-09-30 10:48:45,2316,Lacy,Semporna,BBB Fun Diver,AOW,22.8999996185303,14.1890840530396,125,41,65,31,28,28.3187770843506,1022,1022,68520,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.5,10000,sw-pnf-14-12,GF,40,85,51,0,3
13,Air,2024-09-30 12:17:09,2024-09-30 12:47:38,1829,Lacy,Semporna,BBB Fun Diver,AOW,31.7000007629395,17.4568271636963,147,49,87,30,28,28.5409832000732,1025,1025,5340,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,54,2,5
14,Air,2024-09-30 14:21:52,2024-09-30 15:01:19,2367,Lacy,Semporna,BBB Fun Diver,AOW,20.3000011444092,16.3582324981689,147,49,87,29,28,28.1645565032959,1017,1017,5700,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.5,10000,sw-pnf-14-12,GF,40,85,63,2,7
15,Air,2024-10-01 10:33:47,2024-10-01 11:05:24,1897,Lacy,Semporna,BBB Fun Diver,AOW,27.3000011444092,17.6941547393799,147,49,87,30,28,28.202127456665,1019,1019,70320,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.5,10000,sw-pnf-14-12,GF,40,85,55,0,4
16,Air,2024-10-01 12:24:07,2024-10-01 12:54:59,1852,Lacy,Semporna,BBB Fun Diver,AOW,25.3999996185303,12.4684791564941,147,49,87,29,28,28.3532600402832,1025,1025,4740,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,54,2,4
17,Air,2024-10-01 14:04:45,2024-10-01 14:52:20,2855,Lacy,Semporna,BBB Fun Diver,AOW,14.9000005722046,9.05964374542236,147,49,87,30,29,29.021053314209,1017,1017,4200,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.60000002384186,1.5,10000,sw-pnf-14-12,GF,40,85,32,3,3
18,Air,2024-10-02 10:40:31,2024-10-02 11:24:27,2636,Lacy,Semporna,BBB Fun Diver,,18,11.4358530044556,147,49,87,30,29,29.0377349853516,1025,1025,71280,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,35,0,2
19,Air,2024-10-02 13:00:26,2024-10-02 13:41:31,2465,Lacy,Semporna,BBB Fun Diver,,25.1000003814697,16.2384624481201,147,49,87,30,29,29.0121459960938,1025,1025,5820,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,62,1,5
20,Air,2024-10-02 15:19:56,2024-10-02 15:55:19,2123,Lacy,Semporna,BBB Fun Diver,,27.8000011444092,17.5037689208984,147,49,87,30,29,29.0849056243896,1016,1016,5940,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,56,2,7
21,Air,2024-10-03 10:39:51,2024-10-03 11:26:46,2815,Lacy,Semporna,BBB Fun Diver,,29.5,12.4836874008179,147,49,87,30,27,28.1950359344482,1028,1028,67500,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,54,0,2
22,Air,2024-10-03 12:44:42,2024-10-03 13:20:08,2126,Lacy,Semporna,BBB Fun Diver,,28.6000003814697,10.9204063415527,147,49,87,30,28,28.7295913696289,1029,1029,4680,1020,EN13319,Shearwater Perdix 2,AA6F51C3,152,Lithium,1.5,1.5,10000,sw-pnf-14-12,GF,40,85,29,1,3
