Number,Index,Enabled,TransmitterName,TransmitterSerialNumber,AverageDepthInMeters,GasO2Percent,GasHePercent,GasN2Percent
8,0,True,T1,234374,11.4481678009033,21,0,79
9,0,True,T1,234374,7.48510503768921,21,0,79
10,0,True,T1,234374,9.32876682281494,21,0,79
11,0,True,T1,234374,9.32737827301025,21,0,79
12,0,True,T1,234374,14.2456150054932,21,0,79
12,1,True,T2,233526,14.2456150054932,21,0,79
13,0,True,T1,234374,17.4568271636963,21,0,79
13,1,True,T2,233526,17.4568271636963,21,0,79
14,0,True,T1,234374,16.3582324981689,21,0,79
14,1,True,T2,233526,16.3582324981689,21,0,79
15,0,True,T1,234374,17.7828941345215,21,0,79
15,1,True,T2,233526,17.7828941345215,21,0,79
16,0,True,T1,234374,12.5289621353149,21,0,79
16,1,True,T2,233526,12.5289621353149,21,0,79
17,0,True,T1,234374,9.05964374542236,21,0,79
17,1,True,T2,233526,9.05964374542236,21,0,79
18,0,True,T1,234374,11.475004196167,21,0,79
18,1,True,T2,233526,11.475004196167,21,0,79
19,0,True,T1,234374,16.3000011444092,21,0,79
19,1,True,T2,233526,16.3000011444092,21,0,79
20,0,True,T1,234374,17.5037689208984,21,0,79
20,1,True,T2,233526,17.5037689208984,21,0,79
21,0,True,T1,234374,12.5241985321045,21,0,79
21,1,True,T2,233526,12.5241985321045,21,0,79
22,0,True,T1,234374,10.9697418212891,21,0,79
22,1,True,T2,233526,10.9697418212891,21,0,79
23,0,True,T1,234374,15.3102884292603,21,0,79
23,1,True,T2,233526,15.3102884292603,21,0,79
24,0,True,T1,234374,11.3348836898804,21,0,79
24,1,True,T2,233526,11.3348836898804,21,0,79
25,0,True,T1,234374,12.6541862487793,21,0,79
25,1,True,T2,233526,12.6541862487793,21,0,79
26,0,True,T1,234374,10.2119846343994,21,0,79
26,1,True,T2,233526,10.2119846343994,21,0,79
1004,0,True,T1,263523,11.5353813171387,21,0,79
1005,0,True,T1,263523,7.73487138748169,21,0,79
1006,0,True,T1,263523,12.5243902206421,21,0,79
1007,0,True,T1,263523,16.4696636199951,21,0,79
1008,0,True,T1,263523,12.9598598480225,21,0,79
1009,0,True,T1,263523,10.8865938186646,21,0,79
1010,0,True,T1,263523,15.0978307723999,21,0,79
1010,1,True,T2,744323,15.0978307723999,21,0,79
1011,0,True,T1,263523,17.4639339447021,21,0,79
1011,1,True,T2,744323,17.4639339447021,21,0,79
1012,0,True,T1,263523,16.6248989105225,21,0,79
1012,1,True,T2,744323,16.6248989105225,21,0,79
1013,0,True,T1,263523,18.04714012146,21,0,79
1013,1,True,T2,744323,18.04714012146,21,0,79
1014,0,True,T1,263523,11.8485412597656,21,0,79
1014,1,True,T2,744323,11.8485412597656,21,0,79
1015,0,True,T1,263523,10.2503519058228,21,0,79
1015,1,True,T2,744323,10.2503519058228,21,0,79
1016,0,True,T1,263523,11.8948316574097,21,0,79
1016,1,True,T2,744323,11.8948316574097,21,0,79
1017,0,True,T1,263523,16.8651790618896,21,0,79
1017,1,True,T2,744323,16.8651790618896,21,0,79
1018,0,True,T1,263523,20.5600032806396,21,0,79
1018,1,True,T2,744323,20.5600032806396,21,0,79
1019,0,True,T1,263523,13.1484432220459,21,0,79
1019,1,True,T2,744323,13.1484432220459,21,0,79
1020,0,True,T1,263523,10.9189863204956,21,0,79
1020,1,True,T2,744323,10.9189863204956,21,0,79
1021,0,True,T1,263523,15.4135770797729,21,0,79
1021,1,True,T2,744323,15.4135770797729,21,0,79
1022,0,True,T1,263523,12.2219066619873,21,0,79
1022,1,True,T2,744323,12.2219066619873,21,0,79
1023,0,True,T1,263523,12.2852649688721,21,0,79
1023,1,True,T2,744323,12.2852649688721,21,0,79
1024,0,True,T1,263523,10.8979110717773,21,0,79
1024,1,True,T2,744323,10.8979110717773,21,0,79
